architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	dominant_adversarial	source_equal_dependency_collapsed	0.85	15	0.3	full_route_recovered	109	400	0.2725	0.22944061220148115	0.31896233639871235	0.030231362992766398	0.030108481829494
full	0.35	homogeneous	raw_pooled	0.2	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20289166666666658	0.2033333333333333
full	0.35	homogeneous	raw_pooled	0.2	1	0.15	full_route_recovered	386	400	0.965	0.9419727383175839	0.9807355334141201	0.11203333333333329	0.1133333333333333
full	0.35	homogeneous	raw_pooled	0.2	1	0.3	full_route_recovered	199	400	0.4975	0.4474271215883475	0.5476101287718855	0.042916666666666624	0.0433333333333333
full	0.35	homogeneous	raw_pooled	0.2	5	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.2019360777407283	0.20060086863501156
full	0.35	homogeneous	raw_pooled	0.2	5	0.15	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.11845843716540806	0.1176666145181476
full	0.35	homogeneous	raw_pooled	0.2	5	0.3	full_route_recovered	360	400	0.9	0.8663221417093105	0.9275937058059582	0.05590142972681118	0.057535423706690195
full	0.35	homogeneous	raw_pooled	0.2	15	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20225977126171707	0.20352977581824816
full	0.35	homogeneous	raw_pooled	0.2	15	0.15	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.12061969267507491	0.12162328273652735
full	0.35	homogeneous	raw_pooled	0.2	15	0.3	full_route_recovered	389	400	0.9725	0.9513284510919109	0.9861938697657968	0.059288301257210387	0.060013489208633045
full	0.35	homogeneous	raw_pooled	0.5	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20430833333333331	0.2033333333333333
full	0.35	homogeneous	raw_pooled	0.5	1	0.15	full_route_recovered	380	400	0.95	0.9238330272448575	0.969194758856734	0.10992499999999997	0.1099999999999999
full	0.35	homogeneous	raw_pooled	0.5	1	0.3	full_route_recovered	193	400	0.4825	0.4325681000986893	0.5326926573811865	0.04077499999999997	0.03999999999999995
full	0.35	homogeneous	raw_pooled	0.5	5	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.19779955074348143	0.2017577673271143
full	0.35	homogeneous	raw_pooled	0.5	5	0.15	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.12045747659996608	0.11985747937367144
